발행사명,사업자번호,업종,기준년도,부채비율,부채비율점수,매출액,매출액점수,매출액 영업이익률,매출액 영업이익률점수,총자산 영업이익률,총자산 영업이익률점수,자산규모,자산규모점수,이자보상비율,이자보상비율점수,자기자본 순이익률,자기자본 순이익률점수,차입금의존도,차입금의존도점수,매출액증가율(1~9단계),매출액증가율점수,유동비율,유동비율점수,종합시공능력,종합시공능력점수,전문설비시공능력,전문설비시공능력점수,의료재단등급(1~6),의료재단등급점수,신평사등급/watch(1~7단계),신평사등급점수,주요주주지분(1~4단계),주요주주지분점수,시장금리변동(1~5단계),시장금리변동점수,상장여부(1~4단계),상장여부점수,배서인정보(1~4단계),배서인정보점수,과거이력(1~4단계),과거이력점수,업력(년수),업력점수,종합점수,등급,조정점수,조정등급,부도정보,일자,신평사등급
한솔이엠이,3148144231,전문설비시공,2020,848.75,1.0,"178,761,334",14,-2.64,0,-0.050,-2,"93,755,774",6,-0.78,-1,-98.00,0,29.84,10.0,2,-1.5,1.194,5,308,0.45,68,4.05,,0.00,3,1,5,10,4,3,2,5,2,1,5,10,20,4,70.00,C급,63.00,C급,,,B
일성건설,1058129640,건설업,2020,229.07,15.0,"340,707,105",16,3.01,7.5,0.034,4,"298,701,764",15,1.83,2,3.56,6,33.13,8.0,6,4.0,0.877,3,62,4.05,,0.00,,0.00,5,3,3,5,5,5,4,15,2,1,5,10,43,5,128.55,준A급,115.70,준A급,,,BB+
남산배관센타,2048649332,배관도매업,2019,427.60,4.0,"18,715,668",2,1.25,3,0.033,1,"7,021,168",0,2.45,1,10.68,7.5,29.25,7.0,9,9.0,1.498,3,,0.00,,0.00,,0.00,1,-8,1,2,2,1,1,2,2,1,5,10,6,1,46.50,거절의견,41.85,거절의견,1,2021-04-14,D
대리정밀,5148121162,자동차부품업,2020,336.27,9.0,"61,401,977",6,-0.22,0,-0.003,0,"49,482,884",4,-0.10,-1,-4.48,0,30.40,6.0,2,-1.5,0.095,-1,,0.00,,0.00,,0.00,3,1,1,2,2,1,2,5,2,1,3,2,33,5,38.50,거절의견,34.65,거절의견,,,B
삼진화스너,6038133202,"볼트,너트제조업",2020,102.58,17.0,"12,923,713",1,-4.56,-3,0.000,0,"25,161,420",4,-1.55,-1,-4.82,0,32.95,6.0,3,-1.0,0.916,2,,0.00,,0.00,,0.00,4,2,1,2,2,1,2,5,2,1,3,2,24,4,42.00,거절의견,37.80,거절의견,,,BB
이건창호,7418600712,"금속창,셔터제조",2020,127.17,17.0,"118,609,353",10,-0.32,0,-0.002,0,"168,691,660",15,-0.02,-1,-2.07,1,30.21,8.0,5,2.0,0.609,3,,0.00,,0.00,,0.00,4,2,5,10,4,3,2,5,2,1,5,10,4,1,87.00,준B급,78.30,C급,,,BB
금호건설,1048131309,건설업,2020,244.96,15.0,"1,829,136,281",16,4.43,9.5,0.059,6,"1,380,157,442",15,5.71,5,11.38,10,13.17,14.0,7,6.0,0.938,3,22,4.50,,0.00,,0.00,5,3,5,10,5,5,4,15,2,1,5,10,49,5,153.00,A급,137.70,A급,,,BBB-
성신양회,1018118194,시멘트 제조업,2020,132.79,17.0,"495,995,475",16,5.25,9.5,0.027,4,"950,168,194",15,2.95,3,2.53,6,32.80,8.0,5,2.0,0.669,3,,0.00,,0.00,,0.00,5,3,4,7,5,5,4,15,2,1,5,10,54,5,129.50,준A급,116.55,준A급,,,BBB-
한국하니웰,1068147904,산업공정 제어장비,2020,167.25,17.0,"284,422,128",16,9.74,13.5,0.152,10,"182,644,857",15,99.90,10,37.09,13,0.00,15.0,6,4.0,0.996,3,,0.00,,0.00,,0.00,6,4,4,7,5,5,2,5,2,1,5,10,37,5,153.50,A급,138.15,A급,,,BBB
신안,1338113838,건설업,2020,18.62,20.0,"210,731,470",16,18.03,15.5,0.087,8,"437,833,568",15,1078.60,10,12.96,10,0.97,15.0,6,5.0,6.535,10,55,4.05,,0.00,,0.00,6,4,1,2,5,5,2,5,2,1,5,10,38,5,160.55,A급,144.50,A급,,,BBB
삼정,6078133067,건설업,2020,91.25,19.0,"183,129,895",14,3.06,7.5,0.014,2,"411,104,109",15,3.48,3,3.01,6,33.53,8.0,3,-1.0,2.297,8,74,4.05,,0.00,,0.00,7,5,1,2,5,5,2,5,2,1,5,10,38,5,118.55,준A급,106.70,B급,,,A-
후성정공,1248144749,자동차부품업,2020,265.24,12.0,"141,251,863",13,6.10,11.5,0.076,7,"113,535,064",6,-1.70,-1,-10.69,0,44.03,4.0,6,4.0,0.846,3,,0.00,,0.00,,0.00,3,1,5,10,5,5,2,5,2,1,5,10,25,4,95.50,B급,85.95,준B급,,,B+
영훈의료재단,3148201199,의료재단,2020,481.63,6.0,"215,717,617",16,-2.15,0,0.030,4,"152,821,154",12,-9.62,-2,-32.71,0,34.49,8.0,7,6.0,0.320,0,,0.00,,0.00,1,4.50,4,2,5,10,5,5,2,5,2,1,5,10,36,5,92.50,준B급,83.25,준B급,,,BB-
동하산업,1068109614,의료용품도매업,2020,122.47,15.0,"109,379,988",11,5.32,9.5,0.075,6,"77,539,349",8,99.90,10,5.28,6,0.00,15.0,8,8.0,1.166,5,,0.00,,0.00,,0.00,6,4,4,7,5,5,2,5,2,1,5,10,53,5,130.50,준A급,117.45,준A급,,,BBB
한일개발,1298145758,토목건설업,2020,206.40,13.0,"107,232,182",10,1.43,5.5,0.019,1.5,"79,799,313",7,5.94,5,8.18,8,38.35,6.0,6,4.0,2.186,8,196,1.35,147,3.15,,0.00,6,4,4,7,5,5,2,5,2,1,5,10,20,4,108.50,B급,97.65,B급,,,BBB+
파크랜드,6218105081,남성의복제조,2021,80.54,19.0,"156,441,614",12,-4.43,-3,-0.012,0,"584,431,464",15,-1.02,-1,2.61,6,36.00,8.0,5,3.0,1.145,5,,0.00,,0.00,,0.00,5,3,1,2,4,3,2,5,2,1,5,10,49,5,93.00,준B급,83.70,준B급,,,CCC+
대보건설,3138102806,건설업,2020,196.60,15.0,"812,861,226",16,3.44,7.5,0.074,8,"380,158,560",15,6.94,5,10.32,10,16.95,14.0,9,10.0,1.333,6,45,4.50,,0.00,,0.00,5,3,2,4,5,5,2,5,2,1,5,10,26,4,143.00,A급,128.70,준A급,,,BBB-
대원산업,1348104254,자동차부품업,2020,43.89,20.0,"522,814,368",16,3.22,7.5,0.038,4,"442,808,117",15,99.90,10,6.82,8,0.00,15.0,9,10.0,2.843,10,,0.00,,0.00,,0.00,7,5,5,10,5,5,3,10,2,1,5,10,53,5,161.50,A급,145.35,A급,,,A-
한화에어로스페이스,6098102992,항공기부품제조,2020,132.58,17.0,"1,059,925,451",16,-0.69,0,0.002,1,"4,641,446,968",15,1.35,2,1.43,4,32.60,8.0,6,4.0,1.336,6,,0.00,,0.00,,0.00,7,5,5,10,5,5,4,15,2,1,5,10,44,5,124.00,준A급,111.60,B급,,,AA-
현대엘앤씨,1048655679,건설자재제조,2020,207.50,15.0,"941,029,861",16,2.69,7.5,0.048,6,"526,723,884",15,5.96,5,8.32,8,25.15,11.0,5,2.0,1.275,5,,0.00,,0.00,,0.00,7,5,5,10,5,5,2,5,2,1,5,10,7,2,128.50,준A급,115.65,준A급,,,A-
진흥기업,1068132769,건설업,2020,138.05,17.0,"377,247,252",16,3.89,7.5,0.052,6,"282,917,478",15,18.58,10,18.86,12,0.74,15.0,4,0.0,1.494,6,47,4.50,,0.00,,0.00,6,4,5,10,5,5,4,15,2,1,5,10,62,5,159.00,A급,143.10,A급,,,BBB+
시티건설,2118879240,건설업,2020,35.12,20.0,"228,258,380",16,3.06,7.5,0.020,2,"350,173,210",15,5.45,5,2.24,6,0.00,15.0,3,-1.0,8.516,10,40,4.50,,0.00,,0.00,7,5,4,7,5,5,2,5,2,1,5,10,9,2,135.00,A급,121.50,준A급,,,A
우미건설,4098131276,건설업,2020,26.42,20.0,"821,046,290",16,18.04,15.5,0.154,10,"959,417,569",15,335.87,10,18.23,12,6.02,15.0,6,5.0,4.364,10,23,4.50,,0.00,,0.00,6,4,4,7,5,5,2,5,2,1,5,10,30,5,170.00,A급,153.00,A급,,,BBB+
보미건설,1148164336,건설업,2020,33.09,20.0,"174,598,340",15,8.46,13.5,0.068,6,"216,623,696",15,39.34,10,4.77,6,7.71,15.0,7,7.0,3.862,10,60,4.05,,0.00,,0.00,7,5,2,4,5,5,2,5,2,1,5,10,29,4,155.55,A급,140.00,A급,,,A
양우건설,2298119773,건설업,2020,28.28,20.0,"414,262,694",16,18.47,15.5,0.165,10,"464,188,263",15,547.07,10,17.38,12,0.02,15.0,6,5.0,4.053,10,36,4.50,,0.00,,0.00,5,3,2,4,5,5,2,5,2,1,5,10,32,5,166.00,A급,149.40,A급,,,BB+
엑사이엔씨,1058147352,"도배,실내공사업",2020,185.62,14.0,"142,310,932",12,-2.41,0,-0.040,-2,"85,490,642",7,-2.10,-1,-8.43,0,29.60,10.0,6,4.0,0.981,3,,0.00,11,4.50,,0.00,3,1,2,4,4,3,3,10,2,1,5,10,30,5,85.50,준B급,76.95,C급,,,B
서희건설,2208119330,건설업,2020,92.22,19.0,"1,258,385,234",16,14.24,15.5,0.171,10,"1,046,496,554",15,48.68,10,26.76,13,3.77,15.0,7,7.0,1.745,7,38,4.50,,0.00,,0.00,5,3,2,4,5,5,3,10,2,1,5,10,38,5,170.00,A급,153.00,A급,,,BBB-
동원개발,6048119275,건설업,2020,18.23,20.0,"630,615,658",16,29.74,15.5,0.176,10,"1,064,999,817",15,2623.99,10,17.28,12,0.20,15.0,6,5.0,7.116,10,26,4.50,,0.00,,0.00,5,3,2,4,5,5,3,10,2,1,5,10,43,5,171.00,A급,153.90,A급,,,BBB-
반도건설,6058187475,건설업,2020,45.69,20.0,"579,805,782",16,4.35,9.5,0.016,2,"1,603,033,997",15,4.87,5,2.31,6,24.11,11.0,4,1.0,2.489,9,14,4.50,,0.00,,0.00,6,4,4,7,5,5,2,5,2,1,5,10,13,3,134.00,준A급,120.60,준A급,,,BBB+
서해종합건설,1168137932,건설업,2020,57.87,20.0,"87,869,080",10,3.14,6,0.004,1,"621,500,058",15,5.66,5,2.88,6,24.79,11.0,2,-1.5,3.759,10,52,4.05,,0.00,,0.00,7,5,3,5,5,5,2,5,2,1,4,6,32,5,118.55,준A급,106.70,B급,,,A-
을지병원,2028200392,의료재단,2018,139.04,17.0,"117,212,150",11,17.53,15.5,0.117,10,"175,960,683",15,9999.00,10,7.45,8,2.00,15.0,5,2.0,5.210,10,,0.00,,0.00,1,4.50,7,5,4,7,5,5,2,5,2,1,5,10,53,5,156.00,A급,140.40,A급,,,A+
금호피앤비화학,4178121425,화학제조업,2020,46.31,20.0,"1,412,043,207",16,14.90,15.5,0.189,10,"1,110,586,333",15,50.68,10,23.85,13,12.88,14.0,6,5.0,1.853,7,,0.00,,0.00,,0.00,7,5,4,7,5,5,2,5,2,1,5,10,21,4,162.50,A급,146.25,A급,,,A
도레이첨단소재,5138116410,PT소재제조업,2020,81.01,19.0,"2,040,548,150",16,9.15,13.5,0.075,8,"2,503,800,979",15,6.17,5,4.41,6,33.78,8.0,8,9.0,1.532,6,,0.00,,0.00,,0.00,5,3,4,7,5,5,2,5,2,1,5,10,22,4,140.50,A급,126.45,준A급,,,BBB-
종근당바이오,1108153652,의약품제조업,2020,66.93,19.0,"124,318,896",13,7.73,11.5,0.034,4,"285,665,193",15,15.27,10,4.98,6,27.93,11.0,6,5.0,1.895,7,,0.00,,0.00,,0.00,5,3,5,10,5,5,4,15,2,1,5,10,20,4,149.50,A급,134.55,준A급,,,BB+
남선알미늄,5028100107,"AL압연,압출제조업",2020,59.10,20.0,"268,474,786",16,-0.53,0,-0.005,0,"276,931,596",15,-2.51,-1,-1.41,1,11.82,14.0,5,3.0,1.903,7,,0.00,,0.00,,0.00,6,4,4,7,5,5,4,15,2,1,5,10,48,5,122.00,준A급,109.80,B급,,,BBB+
노루케미칼,1348108982,도료제조업,2020,129.01,15.0,"81,575,759",8,1.14,4,0.013,1.5,"68,815,332",8,6.65,4,2.51,5,10.28,12.0,5,2.0,1.066,4,,0.00,,0.00,,0.00,6,4,4,7,4,3,2,5,2,1,5,10,32,5,98.50,B급,88.65,준B급,,,BBB
에스와이에스리테일,1068101704,가전도소매업,2020,645.74,6.0,"850,438,330",16,0.78,2,0.029,4,"230,975,836",14,3.26,3,19.97,12,39.40,8.0,9,10.0,0.685,3,,0.00,,0.00,,0.00,7,5,5,10,5,5,2,5,2,1,5,10,58,5,119.00,준A급,107.10,B급,,,AA+
쌍용자동차,1258114248,완성자제조업,2020,999.00,1.0,"2,929,789,338",15,-15.22,-3,-0.253,-2,"1,764,694,290",14,-55.18,-2,-99.90,0,20.55,11.0,5,2.0,0.416,0,,0.00,,0.00,,0.00,1,-8,5,10,1,-3,4,15,2,1,1,-5,59,5,51.00,거절의견,45.90,거절의견,,,CC+
이든텍,6038111737,자동차부품업,2020,218.67,13.0,"20,049,153",2,-4.07,-3,-0.016,0,"49,512,863",5,1.86,0.5,3.86,4,59.13,0.0,5,2.0,1.169,4,,0.00,,0.00,,0.00,2,-3,1,2,2,1,2,5,2,1,3,2,31,5,40.50,거절의견,36.45,거절의견,,,B-
미진건설,6048116564,건설업,2020,28.99,19.0,"33,725,867",4,1.44,4,0.007,1,"66,131,955",8,4.20,4,2.65,5,12.67,12.0,2,-1.5,4.694,10,,0.00,,0.00,,0.00,4,2,1,2,2,1,2,5,2,1,3,2,31,5,83.50,준B급,75.15,C급,,,BB-
노루코일코팅,5068134496,도료제조판매,2020,110.96,17.0,"101,815,759",11,7.94,11.5,0.111,8,"73,129,466",8,87.22,10,17.63,12,2.47,15.0,9,10.0,1.529,6,,0.00,,0.00,,0.00,6,4,4,7,4,3,2,5,2,1,5,10,21,4,142.50,A급,128.25,준A급,,,BBB+
한국신문잉크,1348100414,제지및인쇄,2020,57.64,17.5,"16,003,191",2,-4.32,-3,-0.031,-2,"22,566,191",4,-24.20,-2,-7.63,0,8.86,14.0,5,3.0,2.667,8,,0.00,,0.00,,0.00,3,1,5,10,4,3,2,5,2,1,5,10,39,5,76.50,C급,68.85,C급,,,B+
미르산업개발,4108191712,실내공사업,2017,93.40,14.0,"14,221,026",2,3.78,5,0.094,4,"5,714,599",0.5,5.08,2.5,13.47,7.5,25.00,7.0,5,1.0,3.540,8,,0.00,,0.00,,0.00,1,-8,1,2,1,-3,1,2,2,1,2,-1,15,3,47.50,거절의견,42.75,거절의견,1,2019-11-13,
모티브,2298101012,실내공사업,2018,78.54,15.5,"57,919,811",6,1.82,4,0.067,3,"15,766,431",1.5,4.02,4,7.05,7,25.00,8.0,6,5.0,1.880,6,,0.00,,0.00,,0.00,4,2,1,2,1,-3,2,5,1,-5,2,-1,18,3,63.00,C급,56.70,거절의견,1,2019-08-02,
상보건설,1188100504,구조물공사,2020,9999.00,0.5,"33,388,771",4,3.34,6,11.330,9,"3,112,087",0,3.91,2,-9999.00,0,25.07,8.0,1,-2.5,1.070,4,,0.00,,0.00,,0.00,1,-8,1,2,1,-3,2,5,2,1,4,6,37,5,39.00,거절의견,35.10,거절의견,1,2019-09-27,D
영풍진흥기업,1068108518,배관공사업,2018,71.56,14.0,"9,816,272",1,0.58,1,0.010,0.5,"5,737,811",0.5,1.43,1.5,0.55,1.5,15.00,10.0,6,3.0,2.070,5,,0.00,,0.00,,0.00,4,2,1,2,1,-3,1,2,2,1,3,2,40,5,49.00,거절의견,44.10,거절의견,1,2020-01-03,
에스에이치,5108109545,농기계제조업,2018,302.08,9.5,"8,055,350",2,8.08,11,0.052,3,"12,412,291",0.5,2.38,1.5,10.23,8,55.00,-1.0,4,0.0,0.330,-1,,0.00,,0.00,,0.00,1,-8,2,4,1,-3,2,5,2,1,3,2,19,3,37.50,거절의견,33.75,거절의견,1,2019-10-05,
일성전장,5058108511,자동차부품,2018,312.83,8.0,"64,342,112",6,1.31,4,0.018,0.5,"4,704,207",0,1.81,0,9.20,5.5,70.00,-3.0,5,1.0,1.560,3,,0.00,,0.00,,0.00,3,1,1,2,1,-3,1,2,2,1,4,6,28,4,38.00,거절의견,34.20,거절의견,1,2019-12-31,
농업법인 건농,1328190716,비알콜음료,2018,180.23,10.0,"18,616,842",2,4.31,7,0.075,4,"10,764,489",1,3.64,1,13.77,7.5,35.00,4.0,5,1.0,3.340,7,,0.00,,0.00,,0.00,1,-8,1,2,1,-3,1,2,2,1,4,6,9,1,45.50,거절의견,40.95,거절의견,1,2019-12-31,
골든코리아,4578600404,섬유가공,2018,70.50,14.0,"6,053,481",0,4.17,7,0.096,4,"2,627,866",0.5,10.38,9.5,21.16,11.5,90.00,-5.0,4,0.0,10.160,8,,0.00,,0.00,,0.00,1,-8,1,2,1,-3,1,2,2,1,3,2,2,0,45.50,거절의견,40.95,거절의견,1,2020-01-10,
한미랩,1088603872,소프트웨어,2018,39.98,16.0,"1,785,609",0,37.65,13,0.178,8,"3,783,962",0.5,35.57,8.5,45.52,11.5,70.00,-3.0,4,0.0,12.220,8,,0.00,,0.00,,0.00,3,1,1,2,1,-3,1,2,2,1,3,2,7,1,68.50,C급,61.65,C급,1,2020-02-12,
익수종합건설,6218143178,건설업,2018,56.61,16.0,"32,602,307",4,2.54,6,0.100,6,"8,269,793",1.5,7.97,4.5,13.49,7.5,70.00,-3.0,6,3.0,3.390,7,,0.00,,0.00,,0.00,3,1,1,2,3,2,1,2,2,1,5,10,20,4,74.50,C급,67.05,C급,,,B
인플랜,6058122211,실내공사업,2020,999.00,0.5,"5,808,591",0,-54.49,-3,-1.178,-2,"2,686,574",0,-7.63,-2,-99.90,0,173.87,-5.0,1,-2.5,1.648,6,,0.00,,0.00,,0.00,1,-8,1,2,1,-3,2,5,2,1,1,-5,26,4,-12.00,거절의견,-10.80,거절의견,1,2019-03-05,C+
초록이노텍,1128112943,장비설치공사,2019,79.97,14.0,"13,658,265",1,3.41,5,0.073,4,"6,388,326",0.5,5.88,2.5,8.75,5.5,7.83,13.0,2,-1.5,3.200,7,,0.00,,0.00,,0.00,2,-3,1,2,3,2,1,2,2,1,1,-5,35,5,55.00,거절의견,49.50,거절의견,1,2019-05-17,B-
대동커튼월,3118126520,창호제조,2017,379.34,6.0,"14,216,861",2,-1.23,-2,-0.010,0,"17,655,015",0.5,0.07,1.5,-9.45,0,80.00,-3.0,4,0.0,0.740,1,,0.00,,0.00,,0.00,4,2,1,2,1,-3,1,2,2,1,1,-5,11,3,8.00,거절의견,7.20,거절의견,1,2019-02-26,
태정아이엔디,1088152460,실내공사업,2017,137.79,12.0,"7,230,902",0,6.34,9,0.076,4,"6,030,884",0.5,10.70,9.5,16.09,9.5,15.00,10.0,4,0.0,1.780,4,,0.00,,0.00,,0.00,4,2,1,2,1,-3,1,2,1,-5,3,2,16,3,61.50,C급,55.35,거절의견,1,2019-02-28,
에스아이테크,1318169277,장치제조업,2017,281.40,11.0,"66,798,951",8,4.60,8,0.087,5,"35,264,622",2,3.68,2,20.45,13,25.00,9.0,4,0.0,1.280,4,,0.00,,0.00,,0.00,4,2,1,2,4,3,2,5,2,1,3,2,16,3,80.00,준B급,72.00,C급,1,2018-10-04,
서신엔지니어링,2138612708,설비공사업,2017,46.11,17.5,"8,335,124",2,8.25,11,0.067,3,"10,249,149",1.5,4.61,3,7.58,6,35.00,5.0,2,-1.5,4.520,10,,0.00,,0.00,,0.00,4,2,1,2,1,-3,2,5,1,-5,2,-1,23,4,61.50,C급,55.35,거절의견,1,2018-11-05,
대경공영,2298122598,건설업,2017,218.12,12.5,"76,366,585",8,1.04,4,0.033,1,"23,931,273",3,6.34,4,6.15,7,15.00,12.0,4,0.0,1.010,4,,0.00,,0.00,,0.00,4,2,1,2,3,2,2,5,2,1,3,2,22,4,73.50,C급,66.15,C급,1,2018-10-24,
성명산업,4098193011,골재도매업,2017,114.82,14.0,"10,116,875",1,-0.35,-2,-0.005,0,"7,055,917",0.5,1.96,1.5,5.06,3.5,35.00,4.0,5,1.0,1.950,4,,0.00,,0.00,,0.00,3,1,1,2,1,-3,1,2,2,1,3,2,14,3,35.50,거절의견,31.95,거절의견,1,2019-04-16,
대림종합건설,5118101319,건설업,2017,163.68,15.0,"98,208,916",10,2.22,6,0.063,3,"34,697,563",3,4.28,5,11.80,10,26.00,9.0,4,0.0,1.870,6,432,0.00,,0.00,,0.00,6,4,1,2,4,3,2,5,2,1,5,10,28,4,96.00,B급,86.40,준B급,1,2018-11-13,
영창건업,2208123590,실내공사,2017,136.35,12.0,"9,095,775",1,2.04,5,0.040,1,"4,694,266",0.5,7.02,4.5,9.41,5.5,13.00,10.0,4,0.0,2.100,5,,0.00,,0.00,,0.00,4,2,1,2,1,-3,1,2,3,3,1,-5,35,5,50.50,거절의견,45.45,거절의견,1,2019-04-24,
도량기업,2048182923,실내공사,2017,47.04,16.0,"11,126,947",2,9.49,11,0.147,8,"7,156,949",0.5,179.39,8.5,24.83,11.5,6.00,13.0,4,0.0,1.690,4,,0.00,,0.00,,0.00,3,1,1,2,1,-3,1,2,2,1,3,2,14,3,82.50,준B급,74.25,C급,1,2019-05-03,
유승상사,1358167117,실내공사,2017,108.23,14.0,"3,848,058",0,1.78,3,0.015,0.5,"4,431,388",0.5,3.10,1,3.32,3.5,19.00,10.0,3,-1.0,1.740,4,,0.00,,0.00,,0.00,3,1,1,2,1,-3,1,2,2,1,3,2,16,3,43.50,거절의견,39.15,거절의견,1,2019-01-09,
유신하우징,6018121563,자재도매업,2020,183.43,13.0,"27,852,731",4,3.05,6,0.021,1,"39,897,154",3,1.49,1,1.03,3,43.64,3.0,5,2.0,1.288,4,,0.00,,0.00,,0.00,3,1,1,2,3,2,2,5,2,1,3,2,29,4,57.00,거절의견,51.30,거절의견,,,B
쌍용영월산기,2258110799,장치제조업,2018,248.05,10.0,"10,540,112",2,7.12,9,0.091,4,"8,239,501",1,2.58,1,16.98,9.5,49.00,1.0,4,0.0,2.680,6,,0.00,,0.00,,0.00,1,-8,1,2,1,-3,1,2,2,1,3,2,21,4,43.50,거절의견,39.15,거절의견,1,2019-07-07,
부광엔지니어링,1428100360,여과기제조,2018,35.59,16.0,"5,093,623",0,7.80,9,0.133,8,"2,996,209",0.5,110.07,8.5,17.48,9.5,0.00,13.0,3,-1.0,3.690,8,,0.00,,0.00,,0.00,3,1,1,2,1,-3,1,2,2,1,3,2,14,3,79.50,C급,71.55,C급,1,2019-07-07,
상지이엔지,3968600259,구조물해체업,2018,31.16,16.0,"5,461,497",0,6.95,9,0.335,8,"1,133,498",0.5,2694.85,8.5,56.84,11.5,55.00,-1.0,4,0.0,2.920,7,,0.00,,0.00,,0.00,4,2,1,2,1,-3,1,2,2,1,1,-5,3,0,58.50,거절의견,52.65,거절의견,1,2019-07-17,
신영기업,6098167281,장치설치업,2018,170.95,12.0,"6,096,257",0,4.92,7,0.105,6,"2,868,708",0,1.44,1.5,8.33,5.5,35.00,4.0,4,0.0,2.060,5,,0.00,,0.00,,0.00,1,-8,1,2,1,-3,1,2,2,1,3,2,14,3,40.00,거절의견,36.00,거절의견,1,2019-07-24,
제이엔컴퍼니,5048182411,의류제조업,2018,244.84,10.0,"4,287,693",0,4.55,7,0.061,2,"3,205,239",0,11.50,9.5,20.54,11.5,15.00,10.0,5,1.0,1.362,3,,0.00,,0.00,,0.00,3,1,1,2,1,-3,1,2,2,1,3,2,10,3,62.00,C급,55.80,거절의견,1,2019-08-02,
한국마스넷,6138100237,제조업,2018,181.99,13.0,"11,997,338",1,3.47,5,0.014,1,"30,402,226",3,1.24,0.5,1.77,2,55.00,0.0,5,2.0,0.550,2,,0.00,,0.00,,0.00,3,1,1,2,1,-3,2,5,2,1,3,2,46,5,42.50,거절의견,38.25,거절의견,1,2019-08-02,
흥해종합건설,2158178429,건설업,2018,41.74,16.0,"7,640,988",0,2.97,5,0.038,1,"5,958,632",0.5,9.16,4.5,14.00,7.5,25.00,7.0,6,3.0,2.690,6,,0.00,,0.00,,0.00,1,-8,1,2,1,-3,1,2,2,1,3,2,20,4,50.50,거절의견,45.45,거절의견,1,2019-08-14,
일진호이스트크레인,1348193325,기계대여제조,2018,538.08,3.5,"9,150,418",1,2.88,5,0.019,1,"13,748,896",0.5,3.77,1.5,9.71,6,45.00,2.0,4,0.0,0.940,2,,0.00,,0.00,,0.00,4,2,1,2,3,2,2,5,2,1,3,2,17,3,39.50,거절의견,35.55,거절의견,1,2019-08-22,
미르전기,6058613041,전기공사업,2018,55.50,16.0,"5,465,812",0,7.14,9,0.161,8,"2,425,636",0.5,4.02,2.5,17.54,9.5,35.00,4.0,5,1.0,2.710,6,,0.00,,0.00,,0.00,3,1,1,2,1,-3,1,2,2,1,3,2,7,1,62.50,C급,56.25,거절의견,1,2019-07-08,
타임스포츠,1108150349,의류제조업,2018,64.83,14.0,"6,721,868",0,4.20,7,0.049,2,"5,784,854",0.5,3.80,1,6.59,5.5,25.00,7.0,5,1.0,4.140,8,,0.00,,0.00,,0.00,3,1,1,2,1,-3,1,2,2,1,3,2,18,3,54.00,거절의견,48.60,거절의견,1,2019-09-18,
킹스테이블,2338105021,육류가공업,2018,227.79,12.5,"21,058,628",3,9.21,11,0.134,9,"14,496,413",1,6.40,3,44.63,12,55.00,-1.0,4,0.0,1.640,6,,0.00,,0.00,,0.00,2,-3,1,2,1,-3,2,5,2,1,1,-5,5,2,55.50,거절의견,49.95,거절의견,1,2019-09-25,
케이디데니스패션,1148680156,의료제조업,2018,452.26,5.5,"15,249,505",1.5,-29.34,-3,-0.224,-2,"19,930,917",0.5,-15.24,-2,-82.46,0,35.00,5.0,6,4.0,1.170,4,,0.00,,0.00,,0.00,1,-8,1,2,3,2,2,5,2,1,4,6,9,2,23.50,거절의견,21.15,거절의견,1,2019-10-02,
금강골재,3028800767,곡물도매업,2017,40.08,16.0,"612,741",0,0.80,1,0.033,1,"146,942",0.5,0.00,1.5,4.57,3.5,0.00,13.0,5,1.0,2.320,5,,0.00,,0.00,,0.00,3,1,1,2,1,-3,1,2,2,1,3,2,2,0,47.50,거절의견,42.75,거절의견,1,2019-10-07,
경은,5058143575,PT제조업,2018,9999.00,1.0,"25,639,071",3.5,-17.12,-3,-0.073,-2,"59,766,015",4,-2.16,-1,-999.00,0,95.00,-5.0,1,-2.5,1.730,6,,0.00,,0.00,,0.00,4,2,1,2,1,-3,2,5,2,1,3,2,13,3,13.00,거절의견,11.70,거절의견,1,2019-10-02,
대아정공,5048149727,자동차부품,2017,331.55,6.0,"8,502,307",1,3.53,5,0.034,1,"8,789,071",0.5,1.50,1.5,4.86,3.5,55.00,-1.0,5,1.0,0.560,1,,0.00,,0.00,,0.00,4,2,1,2,3,2,1,2,2,1,3,2,43,5,35.50,거절의견,31.95,거절의견,1,2019-10-08,
마하,6088602539,장치제조업,2018,661.64,0.5,"11,640,920",2,6.73,9,0.051,3,"15,440,550",0.5,4.83,3,31.36,12,75.00,-3.0,4,0.0,1.110,4,,0.00,,0.00,,0.00,2,-3,1,2,1,-3,2,5,2,1,1,-5,5,2,30.00,거절의견,27.00,거절의견,1,2019-10-08,
동양프라텍,3038147937,PT제조업,2017,451.35,4.0,"8,056,404",1,2.55,5,0.031,1,"6,608,647",0,2.49,1,10.84,7.5,25.00,7.0,6,3.0,0.840,1,,0.00,,0.00,,0.00,3,1,1,2,1,-3,1,2,2,1,3,2,12,3,38.50,거절의견,34.65,거절의견,1,2019-10-11,
유동에프씨,2048620295,가공식품도매,2018,308.77,8.0,"7,372,220",0,-1.07,-2,-0.042,-2,"1,871,419",0,5.22,2.5,5.87,3.5,5.00,13.0,5,1.0,1.280,2,,0.00,,0.00,,0.00,2,-3,1,2,1,-3,1,2,2,1,3,2,9,1,28.00,거절의견,25.20,거절의견,1,2019-11-04,
